kind	reading
lower	a
lower	a2
lower	ab
lower	ab2
lower	abul
lower	abzu
lower	ad
lower	ag
lower	ag2
lower	aga
lower	agrig
lower	ah
lower	ak
lower	akszak
lower	al
lower	alamusz
lower	alan
lower	am
lower	am3
lower	ama
lower	amar
lower	an
lower	ansze
lower	ap
lower	apin
lower	aq
lower	ar
lower	ar3
lower	as
lower	as,
lower	as2
lower	asal
lower	asar
lower	asz
lower	asz2
lower	asza5
lower	aszgab
lower	asznan
lower	at
lower	at,
lower	az
lower	az2
lower	az3
lower	azlag2
lower	ba
lower	ba4
lower	ba6
lower	babbar
lower	babila2
lower	bad3
lower	bal
lower	bala
lower	ban
lower	ban2
lower	ban3
lower	banda3
lower	banesz
lower	banszur
lower	bappir
lower	bar
lower	bara2
lower	barig
lower	bat
lower	be
lower	be2
lower	bi
lower	bi2
lower	bil
lower	bil2
lower	bir2
lower	bir4
lower	bisz
lower	blank
lower	bu
lower	bun2
lower	bur
lower	bur'u
lower	bur3
lower	buranun
lower	buru14
lower	d
lower	da
lower	dab
lower	dab5
lower	dabin
lower	dag
lower	dagal
lower	dah
lower	dam
lower	dan
lower	dar
lower	de
lower	de3
lower	de4
lower	di
lower	di2
lower	di3
lower	dib
lower	dida
lower	didli
lower	dil
lower	dilmun
lower	dim
lower	dim2
lower	dim4
lower	din
lower	dingir
lower	diri
lower	dirig
lower	disz
lower	du
lower	du10
lower	du11
lower	du3
lower	du5
lower	du6
lower	du7
lower	du8
lower	dub
lower	dug
lower	dug3
lower	duh
lower	dul3
lower	dumu
lower	duru5
lower	dusu
lower	dusu2
lower	e
lower	e2
lower	e3
lower	ea
lower	eb
lower	ed
lower	edin
lower	eg
lower	egir
lower	eh
lower	ek
lower	el
lower	el2
lower	el3
lower	elam
lower	em
lower	eme
lower	en
lower	en6
lower	engar
lower	enku
lower	ensi2
lower	ep
lower	eq
lower	er
lower	er2
lower	er3
lower	erased
lower	eren2
lower	eresz2
lower	eri
lower	eri11
lower	erim
lower	erin
lower	erin2
lower	erisz
lower	es
lower	es,
lower	esir
lower	esz
lower	esz15
lower	esz18
lower	esz2
lower	esz3
lower	esza
lower	esze3
lower	et
lower	et,
lower	ez
lower	ezem
lower	ga
lower	ga2
lower	gab
lower	gaba
lower	gada
lower	gag
lower	gal
lower	gal2
lower	gala
lower	gan
lower	gan2
lower	ganba
lower	gar
lower	gar3
lower	gaz
lower	gazx
lower	ge
lower	ge6
lower	geme
lower	geme2
lower	gesz
lower	gesz'u
lower	gesz2
lower	gesztin
lower	gesztu2
lower	geszu
lower	gi
lower	gi2
lower	gi4
lower	gi7
lower	gibil
lower	gid2
lower	gidri
lower	gigir
lower	gim
lower	gin
lower	gin2
lower	gin7
lower	gir
lower	gir14
lower	gir2
lower	gir3
lower	gir8
lower	giri17
lower	giri3
lower	gissu
lower	gisz
lower	gu
lower	gu2
lower	gu4
lower	gu7
lower	gub
lower	gud
lower	gudu4
lower	gul
lower	gum2
lower	gur
lower	gur10
lower	gur11
lower	gur8
lower	guru7
lower	gurusz
lower	ha
lower	ha:a
lower	had2
lower	hal
lower	har
lower	he
lower	he2
lower	hi
lower	hu
lower	hub2
lower	hun
lower	hur
lower	i
lower	i3
lower	i7
lower	ia
lower	ia2
lower	ia3
lower	ib
lower	ib2
lower	ibila
lower	id
lower	id2
lower	idigna
lower	idim
lower	ig
lower	igi
lower	ih
lower	ii
lower	ik
lower	iku
lower	il
lower	il2
lower	il3
lower	il5
lower	illat
lower	im
lower	imin
lower	imma3
lower	in
lower	ina
lower	inana
lower	inanna
lower	inim
lower	ip
lower	iq
lower	ir
lower	ir3
lower	iri
lower	is
lower	is,
lower	is2
lower	is3
lower	is4
lower	isx
lower	isz
lower	isz3
lower	isz7
lower	isz8
lower	iszkur
lower	isztar
lower	it
lower	it,
lower	iti
lower	itu
lower	iu
lower	iz
lower	ka
lower	ka2
lower	ka3
lower	ka9
lower	kab
lower	kak
lower	kal
lower	kal2
lower	kalag
lower	kalam
lower	kam
lower	kap
lower	kar
lower	kar2
lower	kar3
lower	kas4
lower	kaskal
lower	kasz
lower	ke
lower	kesz2
lower	kesz3
lower	ki
lower	ki2
lower	kib
lower	kid
lower	kikken2
lower	kilib
lower	kin
lower	kir
lower	kiri6
lower	kislah
lower	kisz
lower	kiszib
lower	kiszib3
lower	ku
lower	ku13
lower	ku3
lower	ku4
lower	ku5
lower	ku6
lower	kud
lower	kum
lower	kun
lower	kup4
lower	kur
lower	kur2
lower	kurun2
lower	kusz
lower	kusz3
lower	kux
lower	la
lower	la2
lower	lagasz
lower	lah
lower	lah4
lower	lah5
lower	lah6
lower	lal3
lower	lam
lower	lamma
lower	larsa
lower	le
lower	lem
lower	li
lower	li2
lower	li3
lower	libir
lower	lik
lower	lil2
lower	lim
lower	lu
lower	lu2
lower	lu4
lower	lugal
lower	lukur
lower	lum
lower	m
lower	ma
lower	ma'
lower	ma2
lower	mah
lower	mal
lower	man
lower	mar
lower	mar2
lower	marduk
lower	masz
lower	masz2
lower	maszkim
lower	me
lower	me2
lower	mesz
lower	mi
lower	mi2
lower	mi3
lower	mil
lower	mu
lower	mug
lower	mun
lower	munu4
lower	munus
lower	mur
lower	musz
lower	musz5
lower	muszen
lower	n
lower	na
lower	na4
lower	nag2
lower	nagar
lower	nagga
lower	nam
lower	nanna
lower	nansze
lower	nar
lower	ne
lower	ne2
lower	ne3
lower	nergal
lower	ni
lower	nibru
lower	nidba2
lower	nig2
lower	nigar
lower	nigin6
lower	nim
lower	nimgir
lower	nin
lower	nina
lower	ninda
lower	nir
lower	nirah
lower	nita
lower	nita2
lower	nu
lower	nu2
lower	num
lower	numun
lower	nun
lower	p
lower	pa
lower	pa12
lower	pa2
lower	pa4
lower	pa5
lower	pal
lower	par2
lower	pe
lower	pe2
lower	pesz
lower	pesz2
lower	pi
lower	pi2
lower	pi4
lower	pil
lower	pil2
lower	pir
lower	pirig
lower	pisan
lower	pisz
lower	pu
lower	pur
lower	puzur4
lower	qa
lower	qa2
lower	qa3
lower	qal4
lower	qar
lower	qar3
lower	qe
lower	qe2
lower	qe3
lower	qi2
lower	qi3
lower	qi4
lower	qir
lower	qu
lower	qu2
lower	qu3
lower	qum
lower	qur2
lower	ra
lower	ra2
lower	rasz
lower	re
lower	ri
lower	ri2
lower	rim5
lower	ru
lower	ru3
lower	rum
lower	s,a
lower	s,ar
lower	s,e
lower	s,e2
lower	s,i
lower	s,i2
lower	s,il2
lower	s,ir
lower	s,u
lower	s,u2
lower	s,um
lower	s,ur
lower	sa
lower	sa10
lower	sa12
lower	sa2
lower	sa3
lower	sa6
lower	sag
lower	sag11
lower	saga
lower	sahar
lower	sak
lower	sal
lower	sanga
lower	sar
lower	se
lower	se2
lower	se3
lower	si
lower	si2
lower	si4
lower	sig
lower	sig17
lower	sig2
lower	sig4
lower	siki
lower	sikil
lower	sila
lower	sila3
lower	sila4
lower	silig
lower	silim
lower	sim
lower	simug
lower	sin
lower	sin2
lower	sipa
lower	sipad
lower	sir2
lower	siskur2
lower	space
lower	su
lower	su2
lower	su3
lower	su7
lower	suen
lower	sukkal
lower	sum
lower	sum2
lower	sun2
lower	sur
lower	sza
lower	sza13
lower	sza3
lower	szabra
lower	szagina
lower	szah
lower	szah2
lower	szam
lower	szar
lower	szar2
lower	szara2
lower	sze
lower	sze20
lower	sze3
lower	sze9
lower	szen
lower	szesz
lower	szi
lower	szi2
lower	szii
lower	szim
lower	szinig
lower	szitim
lower	szu
lower	szub
lower	szubur
lower	szuku
lower	szul
lower	szum
lower	szum2
lower	szur
lower	szur4
lower	szusz3
lower	t,a
lower	t,a2
lower	t,a3
lower	t,am
lower	t,ar
lower	t,e
lower	t,e4
lower	t,e6
lower	t,i
lower	t,i3
lower	t,u
lower	t,u2
lower	t,u3
lower	t,ul
lower	t,um
lower	t,up
lower	ta
lower	ta2
lower	tab
lower	tah
lower	tak
lower	tak2
lower	tak4
lower	tal
lower	tam
lower	tam2
lower	tap
lower	tar
lower	tar2
lower	tasz
lower	te
lower	te4
lower	te9
lower	tel
lower	ter
lower	ti
lower	ti7
lower	tibira
lower	til
lower	tim
lower	tir
lower	tiszpak
lower	tu
lower	tu2
lower	tu3
lower	tug2
lower	tukul
lower	tul
lower	tul2
lower	tum
lower	tun3
lower	tup
lower	tur
lower	tur2
lower	turdisz
lower	u
lower	u2
lower	u3
lower	u4
lower	u8
lower	ub
lower	ud
lower	ud5
lower	udru
lower	udu
lower	ug
lower	ug3
lower	ugula
lower	uh
lower	uh2
lower	uh3
lower	uk
lower	ukken
lower	ul
lower	um
lower	umbin
lower	umma
lower	un
lower	unken
lower	unu
lower	unug
lower	up
lower	uq
lower	ur
lower	ur2
lower	ur3
lower	ur5
lower	ura
lower	urasz
lower	uri2
lower	urta
lower	uru
lower	uru4
lower	uruda
lower	urudu
lower	ururdu
lower	us
lower	us,
lower	us,2
lower	us,4
lower	us2
lower	usa
lower	usan3
lower	usz
lower	usz2
lower	ut
lower	ut,
lower	utu
lower	uz
lower	uz2
lower	uzu
lower	wa
lower	wa2
lower	we
lower	wi
lower	wu
lower	x
lower	xxxx
lower	yi
lower	za
lower	za3
lower	zabala4
lower	zabar
lower	zadim
lower	zal
lower	zalag2
lower	zar
lower	ze
lower	ze2
lower	zi
lower	zi2
lower	zi3
lower	zid2
lower	zimbir
lower	zir3
lower	ziz2
lower	zu
lower	zu2
lower	zum
upper	A
upper	AB
upper	AD
upper	AG
upper	AH
upper	AK
upper	AL
upper	AM
upper	AN
upper	AR
upper	ARAD
upper	ARAD2
upper	AS,
upper	AS2
upper	ASZ
upper	AZ
upper	BA
upper	BAD
upper	BAR
upper	BE
upper	BI
upper	BU
upper	BUR
upper	DA
upper	DAM
upper	DI
upper	DIM
upper	DIN
upper	DISZ
upper	DU
upper	E
upper	EDIN
upper	EK
upper	EL
upper	ER
upper	GA
upper	GAB
upper	GAG
upper	GAL
upper	GAN2
upper	GAZ
upper	GESZ
upper	GI
upper	GIR
upper	GIR2
upper	GISZ
upper	GU
upper	HA
upper	HI
upper	HU
upper	I
upper	IA
upper	IB
upper	ID
upper	IG
upper	IH
upper	IK
upper	IL
upper	IL2
upper	IM
upper	IR
upper	IRI
upper	ISZ
upper	IZ
upper	KA
upper	KAB
upper	KAM
upper	KI
upper	KIB
upper	KU
upper	KUM
upper	KUR
upper	LA
upper	LAM
upper	LI
upper	LU
upper	LU2
upper	LUM
upper	MA
upper	ME
upper	MI
upper	NA
upper	NAM
upper	NE
upper	NI
upper	NIG2
upper	NIM
upper	NIN
upper	NU
upper	NUN
upper	PA
upper	PI
upper	RA
upper	RI
upper	RU
upper	S,I
upper	SA
upper	SAG
upper	SAR
upper	SIG
upper	SU
upper	SZA
upper	SZE
upper	SZE3
upper	SZESZ
upper	SZI
upper	SZIM
upper	SZU
upper	TA
upper	TAB
upper	TAM
upper	TAR
upper	TE
upper	TI
upper	TIM
upper	TU
upper	TUG2
upper	TUL2
upper	TUM
upper	TUR
upper	U2
upper	U4
upper	UB
upper	UD
upper	UG
upper	UH
upper	UH2
upper	UH3
upper	UK
upper	UL
upper	UM
upper	UR
upper	USZ
upper	WA
upper	WI
upper	ZA
upper	ZE
upper	ZI
upper	ZI2
upper	ZU
upper	ZUM
